ID,STANDARD_VALUE,smiles
P47900,-1.204,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=CC=C6)Cl
P47900,-1.033,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)[N+](=O)[O-]
P47900,-1.255,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)F)F
P47900,-1.161,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)OC
P47900,-2.228,C1=CC(=CC(=C1)OC2=C(C=CC=N2)NC(=O)NC3=CC(=CC(=C3)Cl)Cl)C(F)(F)F
P47900,-2.449,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CN=C(C=C4)C(F)(F)F)C5=CC=CC=C5NC(=O)NC6=CSC(=N6)C(F)(F)F
P47900,-1.021,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)F)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)C(C)(C)C
P47900,-2.415,C1CN(CC2=C1C(=CC=C2)OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)CC5=CC=CC=C5O
P47900,-3.14,CC(C)C1=CC=CC=C1C2=CC3=C(O2)C(=CC=C3)NC(=O)NC4=CC=C(C=C4)Cl
P47900,-2.789,CSC1=NC2=C(C(=N1)N)N=CN2C3CC(C4(C3C4)COP(=O)(O)O)OP(=O)(O)O
P47900,-4.623,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)F)Cl
P47900,-1.1,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)Cl)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)N=C(C=C6)F
P47900,-2.291,CC1(CN(C2=C1C(=CC(=C2O)F)C3=CC=C(C=C3)F)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C
P47900,-5,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)Cl
P47900,-0.813,CC(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)C(F)(F)F
P47900,-0.903,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NC(=C(S3)C4=CC(=CC=C4)OC)C(F)(F)F
P47900,-3.778,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)Cl)OC
P47900,0.886,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)S(=O)(=O)N(C)C)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-3.342,CC(C)CN1CCC2(CC1)CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-1.342,CC1=CC=CC(=C1)C2=NN=C(S2)NC3=CC=CC=C3N4CC5(CCN(CC5)CC(C)(C)C)C6=C(C=CC(=C64)O)Cl
P47900,-1.079,CCC1=C(SC(=N1)NC2=C(N=CC=C2)OC3=CC=CC=C3C(C)(C)C)C4=CC=CC=C4
P47900,-1.396,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CC=C(C=C4)Cl)C5=CC=CC=C5NC(=O)NC6=NC7=C(S6)N=C(C=C7)Cl
P47900,-0.813,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)CSCC6
P47900,-2.255,CCC1=CC=CC=C1N2C(=CC(=N2)C)OC3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5
P47900,-1.09,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CC=C(C=C4)Cl)C5=CC=CC=C5NC(=O)NC6=CC=C(C=C6)OC(F)(F)F
P47900,-1.255,CC1=C(SC(=N1)NC2=CC=CC=C2N3CC4(CCN(CC4)CC(C)(C)C)C5=CC=CC=C53)C(=O)OC
P47900,-1.604,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=NC=C6
P47900,-0.996,CC(C)(C)CN1CCC2(CC1)CCN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-3.19,CCOC(=O)C1(CN(C2=C(C=CC(=C21)Cl)O)C3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)C
